*ROUTINGS (Product, User Defined, Part, Flow% , From, Method, Container, Containers/Trip, Parts/Container, To, Via Loc, Via Method, Via Containers/Trip, Description), From Load (sec), To Unload (sec), Via Unload (sec), Via Load (sec), Dist (in), Eff Dist (in), Freq, L/UL Time (secs), Travel Time (secs), Via Dist (in), Via Eff Dist (in), Via Freq, Via L/UL Time (mins), Via Travel Time (mins)), Volume, Process/Walk/Dist
Grill,,Bottombrace,100,S2,Forklift,Pallet,2,1500,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,Tubeplugs,100,D1,Conveyor,Tote,6,1000,R,,,0,,,,,,22.6541,30.2055,1500,8,0.359589285714286,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,D2,Conveyor,Tote,6,1000,R,,,0,,,,,,29.2395,38.986,1500,8,0.464119047619048,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,R,Conveyor,Tote,6,1000,I,,,0,,,,,,32.8937,43.8583,1500,8,0.522122619047619,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,I,Conveyor,Tote,6,1000,S1,,,0,,,,,,46.6153,62.1538,1500,8,0.73992619047619,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S1,Conveyor,Tote,6,1000,F,,,0,,,,,,97.717,130.2894,1500,8,1.55106428571429,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,F,Conveyor,Tote,6,1000,P,,,0,,,,,,196.1943,261.5923,1500,8,3.11419404761905,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,P,Conveyor,Tote,6,1000,S2,,,0,,,,,,36.7928,49.0571,1500,8,0.584013095238095,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S2,Conveyor,Tote,6,1000,S,,,0,,,,,,56.4,75.2001,1500,8,0.895239285714286,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D3,,,0,,,,,,28.5522,38.0696,1500,8,0.453209523809524,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D4,,,0,,,,,,30.5276,40.7034,1500,8,0.484564285714286,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D5,,,0,,,,,,32.6032,43.471,1500,8,0.517511904761905,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D6,,,0,,,,,,35.9541,47.9388,1500,8,0.5707,0,0,0,0,0,0,8.00
Grill,,Knob,100,D1,Conveyor,Tote,3,500,R,,,0,,,,,,22.6541,30.2055,1500,8,0.359589285714286,0,0,0,0,0,0,8.00
Grill,,Knob,100,D2,Conveyor,Tote,3,500,R,,,0,,,,,,29.2395,38.986,1500,8,0.464119047619048,0,0,0,0,0,0,8.00
Grill,,Knob,100,R,Conveyor,Tote,3,500,I,,,0,,,,,,32.8937,43.8583,1500,8,0.522122619047619,0,0,0,0,0,0,8.00
Grill,,Knob,100,I,Conveyor,Tote,3,500,S1,,,0,,,,,,46.6153,62.1538,1500,8,0.73992619047619,0,0,0,0,0,0,8.00
Grill,,Knob,100,S1,Conveyor,Tote,3,500,F,,,0,,,,,,97.717,130.2894,1500,8,1.55106428571429,0,0,0,0,0,0,8.00
Grill,,Knob,100,F,Conveyor,Tote,3,500,P,,,0,,,,,,196.1943,261.5923,1500,8,3.11419404761905,0,0,0,0,0,0,8.00
Grill,,Knob,100,P,Conveyor,Tote,3,500,S2,,,0,,,,,,36.7928,49.0571,1500,8,0.584013095238095,0,0,0,0,0,0,8.00
Grill,,Knob,100,S2,Conveyor,Tote,3,500,S,,,0,,,,,,56.4,75.2001,1500,8,0.895239285714286,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D3,,,0,,,,,,28.5522,38.0696,1500,8,0.453209523809524,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D4,,,0,,,,,,30.5276,40.7034,1500,8,0.484564285714286,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D5,,,0,,,,,,32.6032,43.471,1500,8,0.517511904761905,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D6,,,0,,,,,,35.9541,47.9388,1500,8,0.5707,0,0,0,0,0,0,8.00
Grill,,Legextensions,100,D1,Forklift,Pallet,3,1000,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,D2,Forklift,Pallet,3,1000,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,R,Forklift,Pallet,3,1000,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,I,Forklift,Pallet,3,1000,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S1,Forklift,Pallet,3,1000,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,F,Forklift,Pallet,3,1000,P,,,0,,,,,,196.1943,261.5923,1500,30,0.726645277777778,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,P,Forklift,Pallet,3,1000,S2,,,0,,,,,,36.7928,49.0571,1500,30,0.136269722222222,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S2,Forklift,Pallet,3,1000,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,D1,Forklift,Pallet,2,750,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,D2,Forklift,Pallet,2,750,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,R,Forklift,Pallet,2,750,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,I,Forklift,Pallet,2,750,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S1,Forklift,Pallet,2,750,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,F,Forklift,Pallet,2,750,P,,,0,,,,,,196.1943,261.5923,1500,30,0.726645277777778,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,P,Forklift,Pallet,2,750,S2,,,0,,,,,,36.7928,49.0571,1500,30,0.136269722222222,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S2,Forklift,Pallet,2,750,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,Axle,100,D1,Forklift,Pallet,1,1500,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,Axle,100,D2,Forklift,Pallet,1,1500,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,Axle,100,R,Forklift,Pallet,1,1500,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,Axle,100,I,Forklift,Pallet,1,1500,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,Axle,100,S1,Forklift,Pallet,1,1500,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,Axle,100,F,Forklift,Pallet,1,1500,P,,,0,,,,,,196.1943,261.5923,1500,30,0.726645277777778,0,0,0,0,0,0,30.00
Grill,,Axle,100,P,Forklift,Pallet,1,1500,S2,,,0,,,,,,36.7928,49.0571,1500,30,0.136269722222222,0,0,0,0,0,0,30.00
Grill,,Axle,100,S2,Forklift,Pallet,1,1500,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,D1,Forklift,Pallet,5,15000,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
